date,macro_risk_score,regime,total_regime_exposure,em_regime_multiplier,combined_regime_exposure
2020-09-30,0.15657595962644694,neutral,1.0,1.0,1.0
2020-10-31,0.6084894801837981,risk_off,0.75,0.5,0.9
2020-11-30,-1.548804065819048,risk_on,1.0,1.0,1.0
2020-12-31,-0.22556029601866603,neutral,1.0,1.0,1.0
2021-01-31,0.03902959292844857,neutral,1.0,1.0,1.0
2021-02-28,-0.008264127479191086,neutral,1.0,1.0,1.0
2021-03-31,-0.1585307641769716,neutral,1.0,1.0,1.0
2021-04-30,-0.7643049105319821,risk_on,1.0,1.0,1.0
2021-05-31,-0.30814924933473153,neutral,1.0,1.0,1.0
2021-06-30,0.08612703117392129,neutral,1.0,1.0,1.0
2021-07-31,0.07954545120547571,neutral,1.0,1.0,1.0
2021-08-31,-0.0014557442270023702,neutral,1.0,1.0,1.0
2021-09-30,0.3437400263800768,neutral,1.0,1.0,1.0
2021-10-31,-0.21513615583832638,neutral,1.0,1.0,1.0
2021-11-30,0.9491130677435544,risk_off,0.75,0.5,0.9
2021-12-31,-0.5990802544865758,risk_on,1.0,1.0,1.0
2022-01-31,0.25590476039136745,neutral,1.0,1.0,1.0
2022-02-28,0.5451632547599319,risk_off,0.75,0.5,0.9
2022-03-31,0.09920099944915947,neutral,1.0,1.0,1.0
2022-04-30,1.2727811766361796,extreme_risk_off,0.5,0.25,0.7
2022-05-31,-0.3796918924890714,neutral,1.0,1.0,1.0
2022-06-30,1.2541686634590548,extreme_risk_off,0.5,0.25,0.7
2022-07-31,-0.08976987315064514,neutral,1.0,1.0,1.0
2022-08-31,0.5804409504449113,risk_off,0.75,0.5,0.9
2022-09-30,1.1240323329660133,risk_off,0.75,0.5,0.9
2022-10-31,-0.27146026917985344,neutral,1.0,1.0,1.0
2022-11-30,-0.7777034561839411,risk_on,1.0,1.0,1.0
2022-12-31,-0.04427185775904083,neutral,1.0,1.0,1.0
2023-01-31,-0.49441547516390016,neutral,1.0,1.0,1.0
2023-02-28,0.49657539554235286,neutral,1.0,1.0,1.0
2023-03-31,-0.08340358847444937,neutral,1.0,1.0,1.0
2023-04-30,-0.3314703630085551,neutral,1.0,1.0,1.0
2023-05-31,0.5473238915383077,risk_off,0.75,0.5,0.9
2023-06-30,-0.6312336856003145,risk_on,1.0,1.0,1.0
2023-07-31,-0.43245836014098016,neutral,1.0,1.0,1.0
2023-08-31,0.20086796332573825,neutral,1.0,1.0,1.0
2023-09-30,0.3295569401959553,neutral,1.0,1.0,1.0
2023-10-31,0.3036283256381923,neutral,1.0,1.0,1.0
2023-11-30,-0.6326757396313288,risk_on,1.0,1.0,1.0
2023-12-31,-0.06324887652077539,neutral,1.0,1.0,1.0
2024-01-31,0.02243943519502719,neutral,1.0,1.0,1.0
2024-02-29,-0.25298563940865393,neutral,1.0,1.0,1.0
2024-03-31,-0.36350917791517545,neutral,1.0,1.0,1.0
2024-04-30,0.41118433224046924,neutral,1.0,1.0,1.0
2024-05-31,-0.42083845463794894,neutral,1.0,1.0,1.0
2024-06-30,0.1283435225118969,neutral,1.0,1.0,1.0
2024-07-31,0.1588605060962635,neutral,1.0,1.0,1.0
2024-08-31,0.020687388411358594,neutral,1.0,1.0,1.0
2024-09-30,-0.24831911313409338,neutral,1.0,1.0,1.0
2024-10-31,0.7384783451880701,risk_off,0.75,0.5,0.9
2024-11-30,-0.5219452735729485,risk_on,1.0,1.0,1.0
2024-12-31,0.29100149805543174,neutral,1.0,1.0,1.0
2025-01-31,-0.4341747036777406,neutral,1.0,1.0,1.0
2025-02-28,0.14214086787094485,neutral,1.0,1.0,1.0
2025-03-31,-0.2369207379827888,neutral,1.0,1.0,1.0
2025-04-30,0.3549514601540923,neutral,1.0,1.0,1.0
2025-05-31,-0.5577215554546444,risk_on,1.0,1.0,1.0
2025-06-30,-0.5220906021148213,risk_on,1.0,1.0,1.0
2025-07-31,0.005431041693121547,neutral,1.0,1.0,1.0
2025-08-31,-0.20301090768705723,neutral,1.0,1.0,1.0
2025-09-30,-0.2819877410522438,neutral,1.0,1.0,1.0
2025-10-31,-0.20526769612625365,neutral,1.0,1.0,1.0
2025-11-30,-0.006500601263408262,neutral,1.0,1.0,1.0
2025-12-31,-0.19815180607331204,neutral,1.0,1.0,1.0
2026-01-31,-0.35381072919343604,neutral,1.0,1.0,1.0
2026-02-28,0.12394331798532998,neutral,1.0,1.0,1.0
2026-03-31,0.4071167599779577,neutral,1.0,1.0,1.0
2026-04-30,-1.0932386230751425,risk_on,1.0,1.0,1.0
2026-05-31,-0.07421641164045054,neutral,1.0,1.0,1.0
2026-06-30,0.6717673157465507,risk_off,0.75,0.5,0.9
2026-07-31,,,,,
