,G10_carry_net,G10_mom21_net,G10_filter21_net,G10_blend21_net,G10_mom63_net,G10_filter63_net,G10_blend63_net,G10_mom252_net,G10_filter252_net,G10_blend252_net,ALL_carry_net,ALL_mom21_net,ALL_filter21_net,ALL_blend21_net,ALL_mom63_net,ALL_filter63_net,ALL_blend63_net,ALL_mom252_net,ALL_filter252_net,ALL_blend252_net
ALL_carry_net,0.5266961384490918,-0.008125446660796445,0.3302261361588337,0.36422049096773684,-0.020289984484332214,0.3552315618045784,0.36531436890924845,0.04360965008028381,0.3885181491946098,0.35101608168328396,1.0,-0.005037309123753968,0.6209742961942778,0.5270261611106734,0.06851163064384327,0.7133352113578281,0.563785425714762,0.13866525121473414,0.6882367024179049,0.5964068899083976
ALL_mom21_net,-0.0743803302877102,0.546261313373692,0.40001796806862056,0.2720188616321326,0.3640565307663496,0.2426794732466256,0.19533070998611243,0.2165951389914103,0.10473698649809902,0.10637664012517654,-0.005037309123753968,1.0,0.34456488665241447,0.6490442685374792,0.5766766598567221,0.16941880425482492,0.3812011246789933,0.2889572187735462,0.08945131246028586,0.2117841969230842
ALL_filter21_net,0.31508907165973504,0.20147535913923806,0.5180624569257444,0.3766721324247775,0.12923824513724105,0.39058390527190495,0.3265480982910693,0.12029100010886688,0.3442477424490079,0.27447773001095527,0.6209742961942778,0.34456488665241447,1.0,0.5917190418979923,0.302112749102937,0.5856105135094001,0.5183043045526916,0.18151790919472297,0.5464109866666526,0.45322148818274044
ALL_blend21_net,0.19319471566377514,0.40686167153771274,0.48820318782595257,0.4102644497565266,0.24041421239509125,0.37518190072481794,0.3043189998013135,0.19358935338402272,0.3108893698194065,0.2514587033304956,0.5270261611106734,0.6490442685374792,0.5917190418979923,1.0,0.4315674478572952,0.503633799469591,0.650385465337185,0.30287370801920616,0.44580443009296694,0.5322655723497806
ALL_mom63_net,-0.03099859009661386,0.38036157481509253,0.2967974592966387,0.19705825747331143,0.5011174245304428,0.3868419220775961,0.303146747505315,0.30410034728783353,0.21886344558500273,0.15763975976683908,0.06851163064384327,0.5766766598567221,0.302112749102937,0.4315674478572952,1.0,0.32610535945434177,0.6572753716058206,0.43163849186512887,0.18850487145309913,0.32504770884959855
ALL_filter63_net,0.41242614028961777,0.08864597397666026,0.35613881258483154,0.35757412970262864,0.10281332088006248,0.49992358048621577,0.38134983694979363,0.10166929896443166,0.37581027912165765,0.32202723970614056,0.7133352113578281,0.16941880425482492,0.5856105135094001,0.503633799469591,0.32610535945434177,1.0,0.6086804124093718,0.2248910432585793,0.6076042329872856,0.5157573256159667
ALL_blend63_net,0.2441391410343488,0.2548581582108266,0.3879646382178405,0.3168948984580415,0.3678453176222098,0.4810191797625503,0.42013072591344525,0.24022267158892333,0.3730837515293039,0.2920322643143551,0.563785425714762,0.3812011246789933,0.5183043045526916,0.650385465337185,0.6572753716058206,0.6086804124093718,1.0,0.3992799363241193,0.5064713571088884,0.6290741139390092
ALL_mom252_net,0.01211371311760884,0.21898978081912743,0.20682724119143525,0.12769273237608703,0.29959627501149094,0.21057427376144333,0.18426729947018872,0.5042705146370994,0.396972075213306,0.3148462776315151,0.13866525121473414,0.2889572187735462,0.18151790919472297,0.30287370801920616,0.43163849186512887,0.2248910432585793,0.3992799363241193,1.0,0.3895533396005088,0.6804145115088753
ALL_filter252_net,0.397105541332616,0.06195400227489123,0.30917370628490204,0.31397125166822454,0.07968157091606087,0.3386211391791599,0.3338724327987551,0.18342176638487212,0.5235089761365853,0.3694570879949392,0.6882367024179049,0.08945131246028586,0.5464109866666526,0.44580443009296694,0.18850487145309913,0.6076042329872856,0.5064713571088884,0.3895533396005088,1.0,0.6009080562316385
ALL_blend252_net,0.25232518957562855,0.14055786046805013,0.32724588197274757,0.24833258316663148,0.2326470512603952,0.3393442357156577,0.33281569375817677,0.4116272209740379,0.48426768446375007,0.42773974524722036,0.5964068899083976,0.2117841969230842,0.45322148818274044,0.5322655723497806,0.32504770884959855,0.5157573256159667,0.6290741139390092,0.6804145115088753,0.6009080562316385,1.0
